Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.895967, 0.000001,                     0.104032, 0.885593, 0.000004, 0.114403
12.461538, 0.899678, 0.000000,                     0.100321, 0.857263, 0.000002, 0.142735
9.529412, 0.899703, 0.000000,                     0.100297, 0.797638, 0.000001, 0.202362
7.714286, 0.897570, 0.000000,                     0.102430, 0.708437, 0.000000, 0.291563
6.480000, 0.893216, 0.000000,                     0.106784, 0.613285, 0.000000, 0.386715
5.586207, 0.887184, 0.000000,                     0.112816, 0.535188, 0.000000, 0.464812
4.909091, 0.880667, 0.000000,                     0.119333, 0.481120, 0.000000, 0.518880
4.378378, 0.874197, 0.000000,                     0.125803, 0.447264, 0.000001, 0.552736
3.951220, 0.868232, 0.000000,                     0.131768, 0.427238, 0.000001, 0.572761
3.600000, 0.863065, 0.000000,                     0.136934, 0.416119, 0.000001, 0.583880
3.306122, 0.859306, 0.000000,                     0.140693, 0.410869, 0.000001, 0.589130
3.056604, 0.857126, 0.000001,                     0.142874, 0.409479, 0.000001, 0.590520
2.842105, 0.856334, 0.000001,                     0.143665, 0.410809, 0.000001, 0.589190
2.655738, 0.857042, 0.000001,                     0.142957, 0.414212, 0.000001, 0.585787
2.492308, 0.859167, 0.000002,                     0.140831, 0.419279, 0.000001, 0.580720
2.347826, 0.862547, 0.000002,                     0.137452, 0.425944, 0.000000, 0.574056
2.219178, 0.867045, 0.000002,                     0.132953, 0.434100, 0.000000, 0.565900
2.103896, 0.872530, 0.000002,                     0.127468, 0.443734, 0.000000, 0.556266
2.000000, 0.878851, 0.000002,                     0.121147, 0.454966, 0.000000, 0.545034
1.905882, 0.885529, 0.000002,                     0.114469, 0.467805, 0.000000, 0.532195
1.820225, 0.892417, 0.000002,                     0.107580, 0.482373, 0.000000, 0.517626
1.741935, 0.899290, 0.000003,                     0.100708, 0.498805, 0.000001, 0.501195
1.670103, 0.905807, 0.000003,                     0.094190, 0.517177, 0.000001, 0.482822
1.603960, 0.911799, 0.000004,                     0.088197, 0.537583, 0.000002, 0.462416
1.542857, 0.916918, 0.000005,                     0.083078, 0.559950, 0.000003, 0.440047
1.486239, 0.920969, 0.000006,                     0.079025, 0.584243, 0.000004, 0.415754
1.433628, 0.924037, 0.000007,                     0.075956, 0.610322, 0.000005, 0.389673
1.384615, 0.926072, 0.000009,                     0.073920, 0.637911, 0.000007, 0.362082
1.338843, 0.926848, 0.000011,                     0.073142, 0.666717, 0.000008, 0.333274
1.296000, 0.926266, 0.000014,                     0.073720, 0.696143, 0.000011, 0.303846
1.255814, 0.924509, 0.000018,                     0.075473, 0.725533, 0.000013, 0.274453
1.218045, 0.921860, 0.000025,                     0.078115, 0.754135, 0.000017, 0.245848
1.182482, 0.918548, 0.000034,                     0.081418, 0.781108, 0.000023, 0.218869
1.148936, 0.914815, 0.000047,                     0.085138, 0.805836, 0.000031, 0.194133
