Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.791022, 0.000000,                     0.208978, 0.784530, 0.000003, 0.215466
12.461538, 0.712039, 0.000000,                     0.287961, 0.660909, 0.000001, 0.339090
9.529412, 0.752462, 0.000000,                     0.247538, 0.444675, 0.000001, 0.555324
7.714286, 0.832203, 0.000000,                     0.167797, 0.262775, 0.000001, 0.737225
6.480000, 0.790476, 0.000000,                     0.209523, 0.180397, 0.000000, 0.819602
5.586207, 0.782733, 0.000000,                     0.217267, 0.163611, 0.000000, 0.836389
4.909091, 0.770444, 0.000000,                     0.229556, 0.163910, 0.000000, 0.836089
4.378378, 0.754938, 0.000000,                     0.245061, 0.170187, 0.000000, 0.829813
3.951220, 0.738549, 0.000000,                     0.261451, 0.176138, 0.000000, 0.823862
3.600000, 0.712188, 0.000000,                     0.287812, 0.180212, 0.000000, 0.819788
3.306122, 0.686173, 0.000000,                     0.313827, 0.183286, 0.000000, 0.816714
3.056604, 0.688081, 0.000000,                     0.311919, 0.181789, 0.000000, 0.818211
2.842105, 0.679081, 0.000000,                     0.320919, 0.177417, 0.000000, 0.822583
2.655738, 0.666329, 0.000000,                     0.333670, 0.170657, 0.000000, 0.829343
2.492308, 0.652870, 0.000000,                     0.347130, 0.160777, 0.000000, 0.839223
2.347826, 0.635251, 0.000000,                     0.364749, 0.147423, 0.000000, 0.852577
2.219178, 0.617343, 0.000000,                     0.382656, 0.129793, 0.000000, 0.870206
2.103896, 0.594901, 0.000000,                     0.405099, 0.107339, 0.000000, 0.892661
2.000000, 0.573512, 0.000001,                     0.426487, 0.079681, 0.000000, 0.920318
1.905882, 0.550447, 0.000001,                     0.449552, 0.048271, 0.000000, 0.951729
1.820225, 0.530870, 0.000001,                     0.469130, 0.018731, 0.000001, 0.981268
1.741935, 0.513405, 0.000001,                     0.486594, 0.005429, 0.000001, 0.994570
1.670103, 0.500918, 0.000001,                     0.499082, 0.031339, 0.000001, 0.968660
1.603960, 0.492859, 0.000001,                     0.507140, 0.110866, 0.000001, 0.889133
1.542857, 0.489631, 0.000001,                     0.510368, 0.225391, 0.000001, 0.774608
1.486239, 0.491275, 0.000001,                     0.508723, 0.336619, 0.000001, 0.663380
1.433628, 0.496399, 0.000002,                     0.503599, 0.422974, 0.000002, 0.577025
1.384615, 0.505315, 0.000002,                     0.494682, 0.483848, 0.000002, 0.516151
1.338843, 0.515615, 0.000003,                     0.484382, 0.526500, 0.000002, 0.473498
1.296000, 0.527727, 0.000004,                     0.472269, 0.557619, 0.000002, 0.442379
1.255814, 0.539041, 0.000005,                     0.460954, 0.581517, 0.000003, 0.418480
1.218045, 0.550133, 0.000007,                     0.449860, 0.600710, 0.000004, 0.399287
1.182482, 0.558793, 0.000009,                     0.441198, 0.616161, 0.000005, 0.383834
1.148936, 0.565720, 0.000012,                     0.434268, 0.628361, 0.000007, 0.371633
1.117241, 0.569332, 0.000016,                     0.430652, 0.636930, 0.000010, 0.363060
1.087248, 0.570295, 0.000022,                     0.429683, 0.641727, 0.000014, 0.358259
1.058824, 0.567567, 0.000030,                     0.432403, 0.641979, 0.000021, 0.358000
1.031847, 0.561557, 0.000042,                     0.438401, 0.637446, 0.000031, 0.362523
1.006211, 0.551502, 0.000060,                     0.448438, 0.627303, 0.000048, 0.372649
0.981818, 0.537343, 0.000089,                     0.462568, 0.611309, 0.000075, 0.388616
0.958580, 0.518379, 0.000135,                     0.481486, 0.588583, 0.000119, 0.411298
0.936416, 0.493862, 0.000216,                     0.505922, 0.558650, 0.000195, 0.441155
0.915254, 0.462807, 0.000357,                     0.536836, 0.520265, 0.000330, 0.479405
0.895028, 0.423590, 0.000626,                     0.575783, 0.472359, 0.000584, 0.527057
0.875676, 0.374994, 0.001145,                     0.623861, 0.413261, 0.001079, 0.585660
0.857143, 0.315308, 0.002210,                     0.682482, 0.341822, 0.002098, 0.656080
0.839378, 0.245357, 0.004431,                     0.750213, 0.258313, 0.004261, 0.737426
0.822335, 0.168929, 0.009256,                     0.821816, 0.167605, 0.009043, 0.823352
0.805970, 0.098463, 0.019729,                     0.881808, 0.083975, 0.019621, 0.896404
0.790244, 0.053571, 0.042214,                     0.904216, 0.032759, 0.042465, 0.924776
0.775120, 0.052163, 0.086981,                     0.860855, 0.037070, 0.087429, 0.875501
0.760563, 0.084140, 0.163552,                     0.752308, 0.083074, 0.161787, 0.755139
0.746544, 0.103166, 0.259225,                     0.637610, 0.112594, 0.251106, 0.636299
0.733032, 0.084783, 0.329616,                     0.585601, 0.096374, 0.315258, 0.588368
0.720000, 0.061966, 0.350722,                     0.587312, 0.071809, 0.334040, 0.594151
0.707424, 0.058980, 0.344689,                     0.596331, 0.066966, 0.327241, 0.605793
0.695279, 0.066655, 0.336090,                     0.597255, 0.073389, 0.317452, 0.609159
0.683544, 0.071801, 0.333278,                     0.594921, 0.077401, 0.312873, 0.609725
0.672199, 0.069122, 0.335100,                     0.595778, 0.073669, 0.312665, 0.613666
0.661224, 0.061390, 0.336468,                     0.602143, 0.065031, 0.312274, 0.622695
0.650602, 0.054303, 0.333975,                     0.611723, 0.057134, 0.308463, 0.634404
0.640316, 0.051430, 0.327640,                     0.620930, 0.053323, 0.301186, 0.645491
0.630350, 0.051396, 0.320992,                     0.627612, 0.052119, 0.293528, 0.654353
0.620690, 0.050233, 0.317331,                     0.632437, 0.049697, 0.288475, 0.661828
0.611321, 0.044373, 0.318092,                     0.637535, 0.042830, 0.287300, 0.669870
0.602230, 0.033053, 0.321781,                     0.645166, 0.031129, 0.288759, 0.680112
0.593407, 0.018840, 0.324701,                     0.656459, 0.017301, 0.289705, 0.692994
0.584838, 0.006686, 0.322717,                     0.670597, 0.006118, 0.286632, 0.707250
0.576512, 0.000691, 0.313967,                     0.685342, 0.001197, 0.277929, 0.720874
0.568421, 0.001164, 0.300445,                     0.698391, 0.002487, 0.265206, 0.732307
0.560554, 0.004888, 0.286150,                     0.708962, 0.006671, 0.251803, 0.741525
0.552901, 0.007981, 0.274708,                     0.717310, 0.009964, 0.240753, 0.749282
0.545455, 0.008237, 0.267621,                     0.724142, 0.010332, 0.233338, 0.756329
0.538206, 0.006069, 0.264445,                     0.729486, 0.008220, 0.229201, 0.762579
0.531148, 0.003999, 0.263019,                     0.732981, 0.006062, 0.226607, 0.767331
0.524272, 0.005268, 0.260465,                     0.734267, 0.006871, 0.223272, 0.769858
0.517572, 0.011335, 0.254437,                     0.734228, 0.012078, 0.217343, 0.770579
0.511041, 0.020283, 0.244472,                     0.735246, 0.020054, 0.208376, 0.771571
0.504673, 0.027720, 0.232046,                     0.740235, 0.026959, 0.197393, 0.775648
0.498462, 0.029963, 0.219230,                     0.750807, 0.029399, 0.185928, 0.784673
0.492401, 0.026580, 0.207491,                     0.765929, 0.026858, 0.175149, 0.797993
0.486486, 0.021221, 0.197127,                     0.781652, 0.022307, 0.165418, 0.812275
0.480712, 0.020110, 0.187785,                     0.792105, 0.020985, 0.156654, 0.822361
0.475073, 0.028982, 0.179023,                     0.791995, 0.027648, 0.148715, 0.823637
0.469565, 0.049248, 0.171001,                     0.779751, 0.043628, 0.141827, 0.814545
0.464183, 0.076269, 0.164422,                     0.759309, 0.065374, 0.136476, 0.798149
0.458924, 0.100901, 0.160088,                     0.739011, 0.085673, 0.133082, 0.781245
0.453782, 0.113355, 0.158035,                     0.728610, 0.096487, 0.131377, 0.772136
0.448753, 0.108343, 0.156488,                     0.735168, 0.093416, 0.129673, 0.776911
0.443836, 0.092152, 0.151252,                     0.756596, 0.081377, 0.124570, 0.794053
0.439024, 0.085988, 0.137469,                     0.776544, 0.077071, 0.112601, 0.810328
0.434316, 0.110575, 0.115048,                     0.774377, 0.096363, 0.094180, 0.809457
0.429708, 0.161601, 0.090058,                     0.748340, 0.136088, 0.074053, 0.789859
0.425197, 0.214376, 0.068579,                     0.717045, 0.177223, 0.056692, 0.766085
0.420779, 0.245918, 0.052456,                     0.701625, 0.201464, 0.043438, 0.755098
0.416452, 0.243709, 0.040722,                     0.715570, 0.198756, 0.033559, 0.767685
0.412214, 0.207227, 0.031686,                     0.761087, 0.169914, 0.025811, 0.804274
0.408060, 0.152595, 0.024052,                     0.823353, 0.129364, 0.019300, 0.851336
0.403990, 0.110802, 0.017388,                     0.871809, 0.101214, 0.013781, 0.885005
0.400000, 0.106997, 0.011948,                     0.881055, 0.102425, 0.009423, 0.888152
