Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.849375, 0.000004,                     0.150621, 0.805365, 0.000003, 0.194632
12.461538, 0.869417, 0.000001,                     0.130582, 0.704106, 0.000000, 0.295894
9.529412, 0.858235, 0.000001,                     0.141763, 0.508273, 0.000001, 0.491726
7.714286, 0.850913, 0.000001,                     0.149086, 0.326313, 0.000000, 0.673687
6.480000, 0.829990, 0.000000,                     0.170010, 0.226194, 0.000001, 0.773805
5.586207, 0.812451, 0.000001,                     0.187548, 0.196030, 0.000000, 0.803970
4.909091, 0.803907, 0.000000,                     0.196093, 0.188871, 0.000000, 0.811128
4.378378, 0.786813, 0.000001,                     0.213186, 0.191719, 0.000000, 0.808281
3.951220, 0.774063, 0.000000,                     0.225937, 0.196166, 0.000000, 0.803834
3.600000, 0.752733, 0.000000,                     0.247266, 0.200009, 0.000000, 0.799991
3.306122, 0.734179, 0.000000,                     0.265821, 0.203748, 0.000000, 0.796251
3.056604, 0.737300, 0.000000,                     0.262700, 0.204106, 0.000000, 0.795894
2.842105, 0.733388, 0.000000,                     0.266611, 0.202799, 0.000000, 0.797201
2.655738, 0.727474, 0.000000,                     0.272526, 0.199409, 0.000000, 0.800591
2.492308, 0.720751, 0.000000,                     0.279249, 0.194600, 0.000000, 0.805400
2.347826, 0.711268, 0.000000,                     0.288732, 0.187066, 0.000000, 0.812934
2.219178, 0.699673, 0.000001,                     0.300327, 0.177519, 0.000000, 0.822481
2.103896, 0.683284, 0.000000,                     0.316715, 0.164342, 0.000000, 0.835658
2.000000, 0.663962, 0.000001,                     0.336037, 0.147807, 0.000000, 0.852193
1.905882, 0.639830, 0.000001,                     0.360169, 0.126271, 0.000000, 0.873729
1.820225, 0.613892, 0.000001,                     0.386107, 0.099958, 0.000000, 0.900042
1.741935, 0.585330, 0.000001,                     0.414669, 0.068666, 0.000000, 0.931334
1.670103, 0.557243, 0.000001,                     0.442756, 0.035968, 0.000001, 0.964031
1.603960, 0.529719, 0.000001,                     0.470280, 0.010017, 0.000001, 0.989983
1.542857, 0.505387, 0.000002,                     0.494611, 0.006607, 0.000002, 0.993391
1.486239, 0.484918, 0.000002,                     0.515080, 0.041843, 0.000002, 0.958155
1.433628, 0.469546, 0.000003,                     0.530451, 0.116802, 0.000003, 0.883195
1.384615, 0.459991, 0.000003,                     0.540006, 0.212123, 0.000003, 0.787874
1.338843, 0.455910, 0.000005,                     0.544085, 0.304028, 0.000005, 0.695968
1.296000, 0.457746, 0.000005,                     0.542250, 0.381065, 0.000005, 0.618931
1.255814, 0.463667, 0.000007,                     0.536326, 0.441414, 0.000006, 0.558580
1.218045, 0.473798, 0.000008,                     0.526194, 0.488786, 0.000007, 0.511207
1.182482, 0.485472, 0.000011,                     0.514517, 0.525958, 0.000009, 0.474033
1.148936, 0.498847, 0.000013,                     0.501141, 0.556015, 0.000011, 0.443975
1.117241, 0.511321, 0.000019,                     0.488660, 0.580035, 0.000014, 0.419951
1.087248, 0.523420, 0.000023,                     0.476557, 0.599222, 0.000019, 0.400759
1.058824, 0.533177, 0.000034,                     0.466788, 0.613749, 0.000025, 0.386226
1.031847, 0.541338, 0.000044,                     0.458618, 0.623837, 0.000036, 0.376127
1.006211, 0.546552, 0.000065,                     0.453382, 0.629668, 0.000049, 0.370283
0.981818, 0.549494, 0.000090,                     0.450417, 0.630914, 0.000076, 0.369010
0.958580, 0.549383, 0.000137,                     0.450480, 0.628161, 0.000109, 0.371729
0.936416, 0.546564, 0.000201,                     0.453234, 0.620531, 0.000178, 0.379291
0.915254, 0.540576, 0.000326,                     0.459098, 0.609072, 0.000275, 0.390653
0.895028, 0.530912, 0.000531,                     0.468556, 0.592166, 0.000479, 0.407355
0.875676, 0.517178, 0.000943,                     0.481878, 0.570929, 0.000820, 0.428251
0.857143, 0.497472, 0.001726,                     0.500802, 0.542299, 0.001560, 0.456141
0.839378, 0.470722, 0.003426,                     0.525852, 0.506665, 0.003046, 0.490289
0.822335, 0.431764, 0.007196,                     0.561041, 0.457880, 0.006567, 0.535552
0.805970, 0.376398, 0.016498,                     0.607103, 0.392520, 0.015079, 0.592401
0.790244, 0.291983, 0.040555,                     0.667462, 0.297041, 0.037936, 0.665023
0.775120, 0.174002, 0.102637,                     0.723360, 0.166960, 0.098126, 0.734914
0.760563, 0.049562, 0.228761,                     0.721676, 0.036470, 0.223870, 0.739660
0.746544, 0.004669, 0.362535,                     0.632796, 0.002783, 0.353678, 0.643539
0.733032, 0.017213, 0.421749,                     0.561037, 0.026620, 0.403585, 0.569795
0.720000, 0.020734, 0.431078,                     0.548189, 0.031573, 0.409062, 0.559365
0.707424, 0.016415, 0.428733,                     0.554852, 0.025242, 0.404868, 0.569890
