Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.858013, -0.000000,                     0.141987, 0.812685, -0.000000, 0.187315
12.461538, 0.736323, -0.000000,                     0.263677, 0.730841, 0.000000, 0.269159
9.529412, 0.629048, 0.000000,                     0.370952, 0.559292, 0.000000, 0.440708
7.714286, 0.784729, 0.000000,                     0.215271, 0.328132, 0.000000, 0.671868
6.480000, 0.782437, 0.000000,                     0.217563, 0.158450, 0.000000, 0.841550
5.586207, 0.764923, 0.000000,                     0.235077, 0.106068, 0.000000, 0.893932
4.909091, 0.760215, 0.000000,                     0.239785, 0.081875, 0.000000, 0.918125
4.378378, 0.743155, 0.000000,                     0.256845, 0.090408, 0.000000, 0.909592
3.951220, 0.723533, 0.000000,                     0.276467, 0.103448, 0.000000, 0.896552
3.600000, 0.694981, 0.000000,                     0.305019, 0.114723, 0.000000, 0.885277
3.306122, 0.655933, 0.000000,                     0.344067, 0.121999, 0.000000, 0.878001
3.056604, 0.663882, 0.000000,                     0.336118, 0.123701, 0.000000, 0.876300
2.842105, 0.655482, 0.000000,                     0.344518, 0.122446, 0.000000, 0.877554
2.655738, 0.644163, 0.000000,                     0.355837, 0.117521, 0.000000, 0.882479
2.492308, 0.632356, 0.000000,                     0.367643, 0.108857, 0.000000, 0.891143
2.347826, 0.620171, 0.000000,                     0.379828, 0.096387, 0.000000, 0.903613
2.219178, 0.607320, 0.000000,                     0.392680, 0.080100, 0.000000, 0.919900
2.103896, 0.593611, 0.000000,                     0.406388, 0.060301, 0.000000, 0.939699
2.000000, 0.579103, 0.000000,                     0.420897, 0.038255, 0.000000, 0.961745
1.905882, 0.564102, 0.000001,                     0.435898, 0.017567, 0.000000, 0.982433
1.820225, 0.549085, 0.000001,                     0.450915, 0.006558, 0.000000, 0.993441
1.741935, 0.534609, 0.000001,                     0.465390, 0.019909, 0.000001, 0.980090
1.670103, 0.521239, 0.000001,                     0.478760, 0.073037, 0.000001, 0.926963
1.603960, 0.509492, 0.000001,                     0.490507, 0.164980, 0.000001, 0.835019
1.542857, 0.499791, 0.000001,                     0.500208, 0.270413, 0.000001, 0.729586
1.486239, 0.492412, 0.000002,                     0.507586, 0.361221, 0.000002, 0.638777
1.433628, 0.487441, 0.000002,                     0.512557, 0.426839, 0.000002, 0.573160
1.384615, 0.484738, 0.000003,                     0.515259, 0.470556, 0.000002, 0.529442
1.338843, 0.483939, 0.000004,                     0.516058, 0.499220, 0.000003, 0.500777
1.296000, 0.484492, 0.000004,                     0.515504, 0.518357, 0.000003, 0.481640
1.255814, 0.485734, 0.000006,                     0.514261, 0.531407, 0.000004, 0.468589
1.218045, 0.486978, 0.000007,                     0.513015, 0.540210, 0.000005, 0.459785
1.182482, 0.487587, 0.000009,                     0.512404, 0.545591, 0.000007, 0.454403
1.148936, 0.487021, 0.000012,                     0.512968, 0.547786, 0.000009, 0.452205
1.117241, 0.484849, 0.000015,                     0.515135, 0.546726, 0.000012, 0.453262
1.087248, 0.480735, 0.000021,                     0.519244, 0.542212, 0.000016, 0.457771
1.058824, 0.474394, 0.000028,                     0.525577, 0.534025, 0.000023, 0.465952
1.031847, 0.465553, 0.000040,                     0.534407, 0.521959, 0.000033, 0.478007
1.006211, 0.453896, 0.000058,                     0.546046, 0.505821, 0.000050, 0.494130
0.981818, 0.439025, 0.000087,                     0.560888, 0.485384, 0.000076, 0.514540
0.958580, 0.420412, 0.000135,                     0.579454, 0.460343, 0.000120, 0.539537
0.936416, 0.397368, 0.000216,                     0.602416, 0.430250, 0.000197, 0.569553
0.915254, 0.369039, 0.000361,                     0.630600, 0.394488, 0.000333, 0.605179
0.895028, 0.334469, 0.000629,                     0.664901, 0.352303, 0.000588, 0.647109
0.875676, 0.292818, 0.001144,                     0.706038, 0.303008, 0.001081, 0.695912
0.857143, 0.243891, 0.002169,                     0.753939, 0.246521, 0.002075, 0.751404
0.839378, 0.189195, 0.004284,                     0.806521, 0.184520, 0.004151, 0.811329
0.822335, 0.133554, 0.008757,                     0.857689, 0.122342, 0.008604, 0.869054
0.805970, 0.086449, 0.018336,                     0.895215, 0.070829, 0.018247, 0.910924
0.790244, 0.060391, 0.038646,                     0.900964, 0.044776, 0.038764, 0.916461
0.775120, 0.062463, 0.079598,                     0.857939, 0.052604, 0.079724, 0.867673
0.760563, 0.080091, 0.151446,                     0.768462, 0.078829, 0.149837, 0.771334
0.746544, 0.081157, 0.242750,                     0.676094, 0.085628, 0.236327, 0.678044
0.733032, 0.057435, 0.306741,                     0.635824, 0.063062, 0.295806, 0.641132
0.720000, 0.039244, 0.321871,                     0.638885, 0.043881, 0.309440, 0.646679
0.707424, 0.038302, 0.313787,                     0.647911, 0.041935, 0.300851, 0.657215
0.695279, 0.043547, 0.305232,                     0.651221, 0.046503, 0.291405, 0.662092
0.683544, 0.045229, 0.302239,                     0.652533, 0.047635, 0.287115, 0.665250
0.672199, 0.041185, 0.302398,                     0.656417, 0.043134, 0.285913, 0.670953
0.661224, 0.034597, 0.301276,                     0.664127, 0.036184, 0.283679, 0.680137
0.650602, 0.029638, 0.296395,                     0.673967, 0.030897, 0.278026, 0.691077
0.640316, 0.027649, 0.288771,                     0.683580, 0.028555, 0.269802, 0.701644
0.630350, 0.026685, 0.281387,                     0.691928, 0.027221, 0.261735, 0.711044
0.620690, 0.023869, 0.276619,                     0.699512, 0.024110, 0.256042, 0.719849
0.611321, 0.017782, 0.274748,                     0.707470, 0.017902, 0.253033, 0.729065
0.602230, 0.009610, 0.273437,                     0.716953, 0.009806, 0.250672, 0.739522
0.593407, 0.002884, 0.270769,                     0.726348, 0.003205, 0.247138, 0.749658
0.584838, 0.000078, 0.264747,                     0.735175, 0.000429, 0.240833, 0.758738
0.576512, 0.002539, 0.253462,                     0.744000, 0.002728, 0.230067, 0.767205
0.568421, 0.008164, 0.239356,                     0.752480, 0.008097, 0.216913, 0.774990
0.560554, 0.012984, 0.227067,                     0.759949, 0.012801, 0.205231, 0.781968
0.552901, 0.014820, 0.217694,                     0.767486, 0.014690, 0.196134, 0.789176
0.545455, 0.014739, 0.209542,                     0.775719, 0.014580, 0.188514, 0.796905
0.538206, 0.014794, 0.204862,                     0.780344, 0.014185, 0.183712, 0.802103
0.531148, 0.014493, 0.208924,                     0.776584, 0.014266, 0.183745, 0.801989
0.524272, 0.015753, 0.210258,                     0.773989, 0.016104, 0.183332, 0.800563
0.517572, 0.022009, 0.204278,                     0.773712, 0.021582, 0.178327, 0.800092
0.511041, 0.031045, 0.195975,                     0.772981, 0.029355, 0.171182, 0.799463
0.504673, 0.037398, 0.186221,                     0.776381, 0.034918, 0.162623, 0.802460
0.498462, 0.040126, 0.175133,                     0.784741, 0.037051, 0.152796, 0.810153
0.492401, 0.036223, 0.165338,                     0.798439, 0.033850, 0.143674, 0.822476
0.486486, 0.031274, 0.156023,                     0.812704, 0.029768, 0.134990, 0.835242
0.480712, 0.031013, 0.147348,                     0.821639, 0.029679, 0.126979, 0.843342
0.475073, 0.039401, 0.139662,                     0.820937, 0.036884, 0.119999, 0.843117
0.469565, 0.056440, 0.133474,                     0.810086, 0.051310, 0.114489, 0.834201
0.464183, 0.077542, 0.129220,                     0.793238, 0.069079, 0.110774, 0.820147
0.458924, 0.094926, 0.127077,                     0.777997, 0.083735, 0.108884, 0.807381
0.453782, 0.101074, 0.126528,                     0.772397, 0.089084, 0.108214, 0.802702
0.448753, 0.093563, 0.125544,                     0.780893, 0.083286, 0.106934, 0.809780
0.443836, 0.080446, 0.120421,                     0.799133, 0.073235, 0.102009, 0.824756
0.439024, 0.079568, 0.108182,                     0.812250, 0.073435, 0.091250, 0.835315
0.434316, 0.102800, 0.090294,                     0.806906, 0.092990, 0.076080, 0.830930
0.429708, 0.141768, 0.071700,                     0.786531, 0.124761, 0.060481, 0.814757
