Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
0.524272, 0.034027, 0.156161,                     0.809812, 0.199076, 0.133493, 0.667431
0.517572, 0.033798, 0.154333,                     0.811869, 0.204111, 0.126044, 0.669846
0.511041, 0.029414, 0.152004,                     0.818582, 0.219257, 0.121648, 0.659094
0.504673, 0.021817, 0.147904,                     0.830279, 0.244714, 0.121117, 0.634169
0.498462, 0.015136, 0.141682,                     0.843182, 0.250997, 0.119181, 0.629822
0.492401, 0.013291, 0.133163,                     0.853546, 0.236072, 0.114286, 0.649642
0.486486, 0.017168, 0.124520,                     0.858312, 0.211197, 0.114690, 0.674113
0.480712, 0.023852, 0.117576,                     0.858572, 0.189355, 0.115476, 0.695169
0.475073, 0.028938, 0.113452,                     0.857610, 0.181511, 0.115407, 0.703082
0.469565, 0.028909, 0.112376,                     0.858715, 0.187442, 0.114950, 0.697608
0.464183, 0.022912, 0.113608,                     0.863480, 0.196916, 0.115058, 0.688027
0.458924, 0.014074, 0.115309,                     0.870617, 0.195402, 0.116679, 0.687920
0.453782, 0.009009, 0.114873,                     0.876118, 0.172759, 0.119689, 0.707552
0.448753, 0.013102, 0.110359,                     0.876540, 0.132538, 0.121740, 0.745721
0.443836, 0.024233, 0.102019,                     0.873748, 0.095681, 0.118940, 0.785379
0.439024, 0.033312, 0.091744,                     0.874944, 0.086119, 0.109163, 0.804718
0.434316, 0.032147, 0.080953,                     0.886900, 0.102571, 0.094474, 0.802955
0.429708, 0.021124, 0.069566,                     0.909310, 0.112671, 0.079130, 0.808198
0.425197, 0.011655, 0.056913,                     0.931431, 0.096397, 0.065612, 0.837991
0.420779, 0.017968, 0.043531,                     0.938501, 0.070194, 0.055091, 0.874715
0.416452, 0.041942, 0.031393,                     0.926664, 0.067858, 0.046603, 0.885538
0.412214, 0.071746, 0.022048,                     0.906205, 0.103955, 0.039090, 0.856955
0.408060, 0.094475, 0.015588,                     0.889936, 0.165351, 0.031975, 0.802674
0.403990, 0.103510, 0.011294,                     0.885196, 0.224402, 0.025569, 0.750029
0.400000, 0.098062, 0.008416,                     0.893523, 0.260970, 0.020479, 0.718550
