Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.645186, -0.000000,                     0.354814, 0.830024, 0.000001, 0.169975
12.461538, 0.579816, -0.000000,                     0.420184, 0.611821, 0.000000, 0.388179
9.529412, 0.488530, -0.000000,                     0.511470, 0.576860, 0.000000, 0.423140
7.714286, 0.560457, 0.000000,                     0.439543, 0.408721, 0.000000, 0.591279
6.480000, 0.583430, 0.000000,                     0.416570, 0.157194, 0.000000, 0.842806
5.586207, 0.611993, 0.000000,                     0.388007, 0.046934, 0.000000, 0.953066
4.909091, 0.598698, 0.000000,                     0.401302, 0.001759, 0.000000, 0.998241
4.378378, 0.563435, 0.000000,                     0.436565, 0.038440, 0.000000, 0.961559
3.951220, 0.522569, 0.000000,                     0.477430, 0.093159, 0.000000, 0.906841
3.600000, 0.476474, 0.000000,                     0.523526, 0.143819, 0.000000, 0.856181
3.306122, 0.430840, 0.000000,                     0.569160, 0.163849, 0.000000, 0.836151
3.056604, 0.434932, 0.000000,                     0.565068, 0.153723, 0.000000, 0.846277
2.842105, 0.436338, 0.000000,                     0.563662, 0.110090, 0.000000, 0.889910
2.655738, 0.443857, 0.000000,                     0.556143, 0.058460, 0.000000, 0.941540
2.492308, 0.455698, 0.000000,                     0.544302, 0.044386, 0.000000, 0.955614
2.347826, 0.468806, 0.000000,                     0.531194, 0.108376, 0.000000, 0.891624
2.219178, 0.480959, 0.000000,                     0.519041, 0.236966, 0.000000, 0.763034
2.103896, 0.490873, 0.000000,                     0.509127, 0.375584, 0.000000, 0.624416
2.000000, 0.497869, 0.000000,                     0.502131, 0.486213, 0.000000, 0.513787
1.905882, 0.501549, 0.000000,                     0.498451, 0.560277, 0.000000, 0.439722
1.820225, 0.501570, 0.000000,                     0.498429, 0.601998, 0.000000, 0.398002
1.741935, 0.497505, 0.000000,                     0.502495, 0.616679, 0.000000, 0.383321
1.670103, 0.488765, 0.000000,                     0.511234, 0.607071, 0.000001, 0.392928
1.603960, 0.474598, 0.000001,                     0.525401, 0.573352, 0.000001, 0.426648
1.542857, 0.454160, 0.000001,                     0.545839, 0.514953, 0.000001, 0.485046
1.486239, 0.426746, 0.000001,                     0.573253, 0.434689, 0.000002, 0.565310
1.433628, 0.392240, 0.000002,                     0.607758, 0.344875, 0.000002, 0.655122
1.384615, 0.351789, 0.000002,                     0.648209, 0.269370, 0.000003, 0.730627
1.338843, 0.308451, 0.000003,                     0.691546, 0.231908, 0.000004, 0.768088
1.296000, 0.267228, 0.000004,                     0.732768, 0.238052, 0.000005, 0.761943
1.255814, 0.233879, 0.000006,                     0.766116, 0.273970, 0.000006, 0.726024
1.218045, 0.212755, 0.000007,                     0.787238, 0.320999, 0.000007, 0.678993
1.182482, 0.205099, 0.000010,                     0.794892, 0.366053, 0.000009, 0.633939
1.148936, 0.209029, 0.000012,                     0.790959, 0.402607, 0.000011, 0.597382
1.117241, 0.220936, 0.000016,                     0.779048, 0.427955, 0.000015, 0.572031
1.087248, 0.237035, 0.000021,                     0.762945, 0.440760, 0.000020, 0.559220
1.058824, 0.254243, 0.000027,                     0.745729, 0.439654, 0.000029, 0.560317
1.031847, 0.270384, 0.000037,                     0.729579, 0.422436, 0.000044, 0.577519
1.006211, 0.283997, 0.000052,                     0.715951, 0.385794, 0.000071, 0.614135
