Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.639611, 0.000003,                     0.360386, 0.754092, 0.000001, 0.245907
12.461538, 0.618200, 0.000002,                     0.381798, 0.602259, 0.000000, 0.397741
9.529412, 0.503312, 0.000001,                     0.496687, 0.523715, 0.000000, 0.476285
7.714286, 0.575471, 0.000001,                     0.424528, 0.322365, 0.000000, 0.677635
6.480000, 0.599337, 0.000001,                     0.400662, 0.100636, 0.000000, 0.899364
5.586207, 0.631701, 0.000000,                     0.368299, 0.038638, 0.000000, 0.961362
4.909091, 0.621069, 0.000000,                     0.378931, 0.058234, 0.000000, 0.941766
4.378378, 0.588582, 0.000000,                     0.411418, 0.117816, 0.000000, 0.882183
3.951220, 0.549429, 0.000000,                     0.450571, 0.170007, 0.000000, 0.829993
3.600000, 0.506662, 0.000000,                     0.493338, 0.212969, 0.000000, 0.787031
3.306122, 0.466237, 0.000000,                     0.533763, 0.231447, 0.000000, 0.768553
3.056604, 0.462183, 0.000000,                     0.537817, 0.214110, 0.000000, 0.785890
2.842105, 0.461142, 0.000000,                     0.538858, 0.162397, 0.000000, 0.837603
2.655738, 0.467601, 0.000000,                     0.532399, 0.091060, 0.000000, 0.908940
2.492308, 0.478654, 0.000000,                     0.521346, 0.041024, 0.000000, 0.958975
2.347826, 0.490873, 0.000000,                     0.509127, 0.066419, 0.000000, 0.933581
2.219178, 0.501938, 0.000000,                     0.498061, 0.177996, 0.000000, 0.822003
2.103896, 0.510585, 0.000000,                     0.489415, 0.323639, 0.000000, 0.676361
2.000000, 0.516195, 0.000000,                     0.483805, 0.449768, 0.000000, 0.550232
1.905882, 0.518439, 0.000000,                     0.481561, 0.537009, 0.000000, 0.462991
1.820225, 0.517037, 0.000000,                     0.482963, 0.586627, 0.000000, 0.413373
1.741935, 0.511637, 0.000000,                     0.488363, 0.603910, 0.000000, 0.396090
1.670103, 0.501723, 0.000001,                     0.498277, 0.591859, 0.000000, 0.408140
1.603960, 0.486600, 0.000001,                     0.513399, 0.550719, 0.000001, 0.449281
1.542857, 0.465480, 0.000001,                     0.534519, 0.481150, 0.000001, 0.518849
1.486239, 0.437704, 0.000001,                     0.562294, 0.391673, 0.000002, 0.608325
1.433628, 0.403196, 0.000002,                     0.596802, 0.307075, 0.000003, 0.692922
1.384615, 0.363139, 0.000003,                     0.636858, 0.261445, 0.000004, 0.738552
1.338843, 0.320671, 0.000004,                     0.679325, 0.269763, 0.000005, 0.730233
1.296000, 0.280962, 0.000005,                     0.719033, 0.315862, 0.000005, 0.684133
1.255814, 0.249961, 0.000006,                     0.750032, 0.373770, 0.000006, 0.626223
1.218045, 0.232067, 0.000008,                     0.767924, 0.426391, 0.000008, 0.573601
1.182482, 0.228269, 0.000011,                     0.771720, 0.466699, 0.000010, 0.533291
1.148936, 0.236206, 0.000014,                     0.763780, 0.492800, 0.000013, 0.507187
1.117241, 0.251789, 0.000017,                     0.748194, 0.504198, 0.000018, 0.495784
1.087248, 0.270922, 0.000022,                     0.729056, 0.499899, 0.000025, 0.500076
1.058824, 0.290422, 0.000029,                     0.709549, 0.477422, 0.000037, 0.522542
1.031847, 0.308159, 0.000039,                     0.691803, 0.432433, 0.000058, 0.567509
1.006211, 0.322812, 0.000053,                     0.677135, 0.359499, 0.000097, 0.640404
0.981818, 0.333515, 0.000077,                     0.666407, 0.256540, 0.000170, 0.743290
0.958580, 0.339553, 0.000118,                     0.660329, 0.137609, 0.000300, 0.862091
0.936416, 0.340155, 0.000190,                     0.659655, 0.048667, 0.000507, 0.950826
0.915254, 0.334399, 0.000318,                     0.665283, 0.047316, 0.000783, 0.951901
0.895028, 0.321190, 0.000557,                     0.678254, 0.137107, 0.001109, 0.861784
0.875676, 0.299480, 0.001018,                     0.699503, 0.264544, 0.001517, 0.733939
0.857143, 0.268932, 0.001939,                     0.729129, 0.382986, 0.002128, 0.614886
0.839378, 0.231195, 0.003825,                     0.764980, 0.475777, 0.003195, 0.521029
0.822335, 0.191532, 0.007732,                     0.800736, 0.542337, 0.005271, 0.452391
0.805970, 0.158982, 0.015815,                     0.825203, 0.584971, 0.009714, 0.405314
0.790244, 0.141926, 0.032354,                     0.825720, 0.601796, 0.020229, 0.377975
0.775120, 0.139038, 0.065387,                     0.795575, 0.578748, 0.047697, 0.373554
0.760563, 0.132801, 0.126289,                     0.740910, 0.478369, 0.120088, 0.401542
0.746544, 0.101301, 0.213013,                     0.685686, 0.293193, 0.253516, 0.453290
0.733032, 0.059435, 0.281325,                     0.659240, 0.182284, 0.343353, 0.474362
0.720000, 0.045055, 0.298214,                     0.656731, 0.160042, 0.359583, 0.480375
0.707424, 0.052485, 0.290337,                     0.657177, 0.126563, 0.368740, 0.504696
0.695279, 0.060015, 0.283925,                     0.656060, 0.076501, 0.384118, 0.539381
0.683544, 0.059384, 0.284417,                     0.656199, 0.036945, 0.395968, 0.567087
0.672199, 0.053330, 0.287726,                     0.658944, 0.018675, 0.399002, 0.582322
0.661224, 0.048398, 0.288417,                     0.663185, 0.012666, 0.395240, 0.592094
0.650602, 0.048056, 0.284559,                     0.667385, 0.011475, 0.386474, 0.602051
0.640316, 0.049895, 0.278555,                     0.671550, 0.018842, 0.372029, 0.609129
0.630350, 0.048939, 0.274043,                     0.677019, 0.039940, 0.352786, 0.607274
0.620690, 0.042393, 0.272825,                     0.684782, 0.070222, 0.333361, 0.596417
0.611321, 0.032002, 0.273909,                     0.694089, 0.097526, 0.319114, 0.583360
0.602230, 0.023599, 0.274204,                     0.702197, 0.111710, 0.312347, 0.575943
0.593407, 0.023652, 0.270509,                     0.705839, 0.111916, 0.310706, 0.577378
0.584838, 0.034190, 0.261943,                     0.703867, 0.109420, 0.307575, 0.583004
0.576512, 0.050800, 0.250627,                     0.698573, 0.122384, 0.295769, 0.581846
0.568421, 0.065913, 0.239924,                     0.694163, 0.160069, 0.274032, 0.565899
0.560554, 0.073480, 0.232334,                     0.694186, 0.213248, 0.248608, 0.538145
0.552901, 0.071352, 0.228658,                     0.699990, 0.264196, 0.227196, 0.508608
0.545455, 0.061534, 0.228157,                     0.710309, 0.300071, 0.213904, 0.486025
0.538206, 0.049245, 0.229108,                     0.721647, 0.316531, 0.209048, 0.474421
0.531148, 0.040582, 0.229618,                     0.729800, 0.316849, 0.210337, 0.472815
0.524272, 0.039027, 0.228539,                     0.732434, 0.311237, 0.213419, 0.475344
0.517572, 0.043064, 0.225882,                     0.731053, 0.313109, 0.213292, 0.473599
0.511041, 0.047170, 0.222320,                     0.730510, 0.328940, 0.207550, 0.463510
0.504673, 0.045497, 0.218236,                     0.736267, 0.351034, 0.198304, 0.450662
0.498462, 0.035742, 0.213160,                     0.751099, 0.363135, 0.189997, 0.446868
0.492401, 0.021067, 0.206101,                     0.772832, 0.351186, 0.186020, 0.462793
0.486486, 0.008541, 0.196659,                     0.794801, 0.309484, 0.187361, 0.503155
0.480712, 0.004305, 0.185932,                     0.809763, 0.244058, 0.192697, 0.563245
0.475073, 0.009254, 0.176260,                     0.814486, 0.174487, 0.199072, 0.626440
0.469565, 0.018922, 0.170066,                     0.811013, 0.126092, 0.203681, 0.670227
0.464183, 0.026533, 0.168851,                     0.804616, 0.110178, 0.206241, 0.683581
0.458924, 0.026360, 0.172503,                     0.801136, 0.112546, 0.209129, 0.678325
0.453782, 0.017200, 0.178202,                     0.804599, 0.105088, 0.214208, 0.680704
0.448753, 0.006286, 0.179466,                     0.814248, 0.069604, 0.218471, 0.711925
