Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
1.513924, 0.110639, 0.880242,                     0.009119, 0.100981, 0.522303, 0.376716
1.495415, 0.109919, 0.881777,                     0.008304, 0.095477, 0.530783, 0.373740
1.477354, 0.109274, 0.883599,                     0.007128, 0.090048, 0.539813, 0.370139
1.459723, 0.108614, 0.884754,                     0.006632, 0.084343, 0.548580, 0.367077
1.442509, 0.107597, 0.886591,                     0.005812, 0.077884, 0.557337, 0.364779
1.425695, 0.106612, 0.888796,                     0.004592, 0.071543, 0.566499, 0.361958
1.409269, 0.105645, 0.890353,                     0.004002, 0.065178, 0.575300, 0.359522
1.393218, 0.104345, 0.892463,                     0.003192, 0.058303, 0.583823, 0.357874
1.377528, 0.103038, 0.895011,                     0.001951, 0.051639, 0.592541, 0.355821
1.362187, 0.101773, 0.896939,                     0.001288, 0.045217, 0.600748, 0.354035
1.347184, 0.100204, 0.899297,                     0.000499, 0.038601, 0.608380, 0.353019
1.332508, 0.098594, 0.902139,                     -0.000734, 0.032340, 0.615948, 0.351713
1.318148, 0.097046, 0.904397,                     -0.001442, 0.026582, 0.622830, 0.350588
1.304095, 0.095227, 0.906968,                     -0.002195, 0.020986, 0.628842, 0.350172
1.290338, 0.093340, 0.910055,                     -0.003395, 0.015923, 0.634512, 0.349565
1.276868, 0.091527, 0.912596,                     -0.004123, 0.011584, 0.639344, 0.349072
1.263677, 0.089481, 0.915336,                     -0.004817, 0.007747, 0.643061, 0.349192
1.250755, 0.087346, 0.918611,                     -0.005957, 0.004621, 0.646202, 0.349177
1.238095, 0.085292, 0.921379,                     -0.006672, 0.002357, 0.648418, 0.349225
1.225689, 0.083047, 0.924242,                     -0.007288, 0.000858, 0.649374, 0.349768
1.213529, 0.080697, 0.927641,                     -0.008339, 0.000203, 0.649614, 0.350183
1.201608, 0.078435, 0.930580,                     -0.009015, 0.000431, 0.648945, 0.350624
1.189918, 0.076021, 0.933511,                     -0.009532, 0.001556, 0.647013, 0.351431
1.178454, 0.073498, 0.936965,                     -0.010463, 0.003584, 0.644343, 0.352074
1.167209, 0.071064, 0.940006,                     -0.011070, 0.006390, 0.640894, 0.352715
1.156176, 0.068520, 0.942943,                     -0.011463, 0.010079, 0.636311, 0.353611
1.145350, 0.065868, 0.946384,                     -0.012251, 0.014642, 0.631082, 0.354275
