Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.083718, 0.356385,                     0.559897, 0.135530, 0.378611, 0.485859
12.461538, 0.124733, 0.288259,                     0.587007, 0.152409, 0.382991, 0.464599
9.529412, 0.094345, 0.312147,                     0.593509, 0.137080, 0.415910, 0.447011
7.714286, 0.044060, 0.474878,                     0.481061, 0.146459, 0.463326, 0.390215
6.480000, 0.029277, 0.555396,                     0.415326, 0.208399, 0.412646, 0.378955
5.586207, 0.013730, 0.615155,                     0.371115, 0.224138, 0.378513, 0.397349
4.909091, 0.018937, 0.645283,                     0.335780, 0.282251, 0.338509, 0.379240
4.378378, 0.031863, 0.633854,                     0.334283, 0.312191, 0.295941, 0.391869
3.951220, 0.043931, 0.619622,                     0.336447, 0.332876, 0.262571, 0.404552
3.600000, 0.053565, 0.601673,                     0.344762, 0.350890, 0.220298, 0.428812
3.306122, 0.053443, 0.584486,                     0.362071, 0.360981, 0.165350, 0.473669
3.056604, 0.057908, 0.593015,                     0.349078, 0.386282, 0.109173, 0.504546
2.842105, 0.059761, 0.592469,                     0.347769, 0.418786, 0.062244, 0.518969
2.655738, 0.058343, 0.591989,                     0.349668, 0.443470, 0.037874, 0.518656
2.492308, 0.054329, 0.592778,                     0.352893, 0.455063, 0.042939, 0.501998
2.347826, 0.048261, 0.594708,                     0.357031, 0.447259, 0.070771, 0.481970
2.219178, 0.040710, 0.597336,                     0.361954, 0.421976, 0.108448, 0.469576
2.103896, 0.032313, 0.600090,                     0.367597, 0.389565, 0.145838, 0.464597
2.000000, 0.023761, 0.602343,                     0.373896, 0.357344, 0.177625, 0.465031
1.905882, 0.015768, 0.603470,                     0.380762, 0.327910, 0.202964, 0.469126
1.820225, 0.009010, 0.602921,                     0.388069, 0.301152, 0.222846, 0.476002
1.741935, 0.004057, 0.600282,                     0.395661, 0.276179, 0.238331, 0.485490
1.670103, 0.001309, 0.595333,                     0.403359, 0.252363, 0.250225, 0.497412
1.603960, 0.000949, 0.588074,                     0.410977, 0.229458, 0.259197, 0.511346
1.542857, 0.002930, 0.578725,                     0.418345, 0.207433, 0.265821, 0.526746
1.486239, 0.006991, 0.567683,                     0.425326, 0.186357, 0.270578, 0.543065
1.433628, 0.012704, 0.555463,                     0.431833, 0.166338, 0.273857, 0.559805
1.384615, 0.019537, 0.542635,                     0.437828, 0.147496, 0.275967, 0.576536
1.338843, 0.026920, 0.529752,                     0.443328, 0.129942, 0.277159, 0.592899
1.296000, 0.034296, 0.517309,                     0.448396, 0.113764, 0.277633, 0.608603
1.255814, 0.041163, 0.505710,                     0.453127, 0.099020, 0.277555, 0.623426
1.218045, 0.047100, 0.495253,                     0.457647, 0.085732, 0.277061, 0.637207
1.182482, 0.051771, 0.486134,                     0.462095, 0.073887, 0.276267, 0.649847
1.148936, 0.054937, 0.478444,                     0.466620, 0.063438, 0.275268, 0.661293
1.117241, 0.056444, 0.472186,                     0.471370, 0.054313, 0.274145, 0.671542
1.087248, 0.056231, 0.467279,                     0.476489, 0.046416, 0.272960, 0.680625
1.058824, 0.054321, 0.463571,                     0.482108, 0.039637, 0.271761, 0.688602
1.031847, 0.050824, 0.460842,                     0.488334, 0.033860, 0.270582, 0.695558
1.006211, 0.045937, 0.458815,                     0.495249, 0.028965, 0.269444, 0.701591
0.981818, 0.039941, 0.457168,                     0.502892, 0.024837, 0.268352, 0.706811
0.958580, 0.033194, 0.455549,                     0.511257, 0.021367, 0.267302, 0.711332
0.936416, 0.026119, 0.453598,                     0.520284, 0.018457, 0.266274, 0.715269
0.915254, 0.019175, 0.450971,                     0.529854, 0.016024, 0.265242, 0.718734
0.895028, 0.012827, 0.447376,                     0.539797, 0.013995, 0.264169, 0.721836
0.875676, 0.007504, 0.442593,                     0.549903, 0.012314, 0.263013, 0.724673
0.857143, 0.003555, 0.436508,                     0.559937, 0.010936, 0.261729, 0.727335
0.839378, 0.001217, 0.429116,                     0.569667, 0.009828, 0.260271, 0.729901
0.822335, 0.000593, 0.420525,                     0.578882, 0.008966, 0.258594, 0.732439
0.805970, 0.001644, 0.410937,                     0.587419, 0.008336, 0.256661, 0.735003
0.790244, 0.004208, 0.400622,                     0.595169, 0.007924, 0.254441, 0.737635
