Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.144577, 0.432269,                     0.423154, 0.091844, 0.466724, 0.441433
12.461538, 0.064534, 0.669138,                     0.266328, 0.083465, 0.520536, 0.395999
9.529412, 0.026461, 0.788544,                     0.184995, 0.127229, 0.481063, 0.391708
7.714286, 0.014393, 0.837019,                     0.148588, 0.177171, 0.413021, 0.409808
6.480000, 0.015256, 0.847783,                     0.136961, 0.217990, 0.351221, 0.430789
5.586207, 0.016975, 0.818543,                     0.164482, 0.219101, 0.313866, 0.467033
4.909091, 0.018646, 0.861572,                     0.119782, 0.243004, 0.287587, 0.469409
4.378378, 0.025272, 0.862542,                     0.112185, 0.254318, 0.265551, 0.480131
3.951220, 0.032595, 0.856626,                     0.110780, 0.260248, 0.250501, 0.489251
3.600000, 0.040683, 0.839526,                     0.119790, 0.263518, 0.239653, 0.496829
3.306122, 0.041550, 0.816560,                     0.141891, 0.259776, 0.229832, 0.510393
3.056604, 0.044318, 0.832376,                     0.123306, 0.258104, 0.232408, 0.509488
2.842105, 0.048693, 0.829933,                     0.121374, 0.257101, 0.235751, 0.507148
2.655738, 0.051959, 0.824115,                     0.123926, 0.255489, 0.241115, 0.503396
2.492308, 0.054236, 0.817671,                     0.128093, 0.253559, 0.248457, 0.497984
2.347826, 0.055706, 0.811203,                     0.133091, 0.251470, 0.257389, 0.491141
2.219178, 0.056558, 0.804853,                     0.138589, 0.249312, 0.267518, 0.483170
2.103896, 0.056993, 0.798595,                     0.144412, 0.247146, 0.278554, 0.474300
2.000000, 0.057216, 0.792324,                     0.150461, 0.245010, 0.290363, 0.464627
1.905882, 0.057424, 0.785889,                     0.156686, 0.242910, 0.302953, 0.454137
1.820225, 0.057800, 0.779123,                     0.163077, 0.240795, 0.316412, 0.442792
1.741935, 0.058495, 0.771861,                     0.169644, 0.238563, 0.330823, 0.430614
1.670103, 0.059619, 0.763963,                     0.176418, 0.236083, 0.346200, 0.417717
1.603960, 0.061236, 0.755327,                     0.183437, 0.233243, 0.362469, 0.404289
1.542857, 0.063359, 0.745903,                     0.190738, 0.229962, 0.379471, 0.390567
1.486239, 0.065945, 0.735697,                     0.198357, 0.226202, 0.396981, 0.376817
1.433628, 0.068908, 0.724774,                     0.206318, 0.221949, 0.414725, 0.363326
1.384615, 0.072119, 0.713251,                     0.214630, 0.217200, 0.432398, 0.350402
1.338843, 0.075421, 0.701288,                     0.223291, 0.211951, 0.449666, 0.338383
1.296000, 0.078643, 0.689072,                     0.232285, 0.206199, 0.466182, 0.327619
1.255814, 0.081609, 0.676808,                     0.241583, 0.199939, 0.481608, 0.318453
1.218045, 0.084150, 0.664699,                     0.251151, 0.193167, 0.495644, 0.311189
1.182482, 0.086116, 0.652935,                     0.260949, 0.185886, 0.508053, 0.306061
1.148936, 0.087380, 0.641684,                     0.270936, 0.178101, 0.518688, 0.303211
1.117241, 0.087843, 0.631083,                     0.281074, 0.169830, 0.527495, 0.302676
1.087248, 0.087438, 0.621233,                     0.291329, 0.161095, 0.534513, 0.304392
1.058824, 0.086131, 0.612198,                     0.301672, 0.151931, 0.539861, 0.308208
1.031847, 0.083917, 0.604000,                     0.312083, 0.142385, 0.543707, 0.313908
1.006211, 0.080824, 0.596628,                     0.322548, 0.132513, 0.546250, 0.321237
0.981818, 0.076910, 0.590030,                     0.333061, 0.122385, 0.547686, 0.329928
0.958580, 0.072258, 0.584123,                     0.343620, 0.112085, 0.548193, 0.339722
