Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
0.524272, 0.037041, 0.308618,                     0.654341, 0.012512, 0.158797, 0.828691
0.517572, 0.040363, 0.302098,                     0.657538, 0.013110, 0.156855, 0.830035
0.511041, 0.043954, 0.295373,                     0.660673, 0.013853, 0.155259, 0.830887
0.504673, 0.047561, 0.288892,                     0.663548, 0.014576, 0.153243, 0.832182
0.498462, 0.052185, 0.284032,                     0.663783, 0.016805, 0.150626, 0.832569
0.492401, 0.056587, 0.278937,                     0.664476, 0.018881, 0.147590, 0.833529
0.486486, 0.060579, 0.274046,                     0.665375, 0.021406, 0.144421, 0.834174
0.480712, 0.064011, 0.269523,                     0.666465, 0.024571, 0.141163, 0.834267
0.475073, 0.066715, 0.265399,                     0.667886, 0.028425, 0.137843, 0.833732
0.469565, 0.068554, 0.261670,                     0.669776, 0.032975, 0.134485, 0.832539
0.464183, 0.069446, 0.258305,                     0.672249, 0.038200, 0.131115, 0.830685
0.458924, 0.069367, 0.255255,                     0.675378, 0.044056, 0.127757, 0.828187
0.453782, 0.068360, 0.252455,                     0.679186, 0.050485, 0.124435, 0.825080
0.448753, 0.066536, 0.249823,                     0.683641, 0.057409, 0.121174, 0.821417
0.443836, 0.064082, 0.247268,                     0.688650, 0.064745, 0.117996, 0.817259
0.439024, 0.061252, 0.244697,                     0.694051, 0.072398, 0.114922, 0.812680
0.434316, 0.058365, 0.242013,                     0.699622, 0.080272, 0.111970, 0.807759
0.429708, 0.055782, 0.239133,                     0.705085, 0.088270, 0.109152, 0.802578
0.425197, 0.053888, 0.235984,                     0.710128, 0.096299, 0.106480, 0.797221
0.420779, 0.053064, 0.232513,                     0.714423, 0.104270, 0.103960, 0.791770
0.416452, 0.053656, 0.228691,                     0.717653, 0.112101, 0.101595, 0.786304
0.412214, 0.055945, 0.224517,                     0.719539, 0.119719, 0.099386, 0.780895
0.408060, 0.060124, 0.220014,                     0.719861, 0.127063, 0.097328, 0.775609
0.403990, 0.066281, 0.215235,                     0.718484, 0.134082, 0.095417, 0.770501
0.400000, 0.074385, 0.210248,                     0.715367, 0.140739, 0.093643, 0.765618
