Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.083718, 0.356385,                     0.559897, 0.082734, 0.482779, 0.434486
12.461538, 0.124733, 0.288259,                     0.587007, 0.191387, 0.337859, 0.470753
9.529412, 0.094345, 0.312147,                     0.593509, 0.128265, 0.445937, 0.425798
7.714286, 0.044060, 0.474878,                     0.481061, 0.156083, 0.452607, 0.391310
6.480000, 0.029277, 0.555396,                     0.415326, 0.217962, 0.406030, 0.376008
5.586207, 0.013730, 0.615155,                     0.371115, 0.221340, 0.384681, 0.393979
4.909091, 0.018937, 0.645283,                     0.335780, 0.267895, 0.364989, 0.367116
4.378378, 0.031863, 0.633854,                     0.334283, 0.292929, 0.335182, 0.371889
3.951220, 0.043931, 0.619622,                     0.336447, 0.304659, 0.309794, 0.385547
3.600000, 0.053565, 0.601673,                     0.344762, 0.308759, 0.279645, 0.411595
3.306122, 0.053443, 0.584486,                     0.362071, 0.298649, 0.241657, 0.459694
3.056604, 0.057908, 0.593015,                     0.349078, 0.286480, 0.224189, 0.489331
2.842105, 0.059761, 0.592469,                     0.347769, 0.256201, 0.240321, 0.503478
2.655738, 0.058343, 0.591989,                     0.349668, 0.213159, 0.296187, 0.490654
2.492308, 0.054329, 0.592778,                     0.352893, 0.168709, 0.373472, 0.457819
2.347826, 0.048261, 0.594708,                     0.357031, 0.130582, 0.450899, 0.418519
2.219178, 0.040710, 0.597336,                     0.361954, 0.099961, 0.516948, 0.383091
2.103896, 0.032313, 0.600090,                     0.367597, 0.075472, 0.569018, 0.355510
2.000000, 0.023761, 0.602343,                     0.373896, 0.056217, 0.608154, 0.335629
1.905882, 0.015768, 0.603470,                     0.380762, 0.042291, 0.635891, 0.321818
1.820225, 0.009010, 0.602921,                     0.388069, 0.034191, 0.653509, 0.312300
1.741935, 0.004057, 0.600282,                     0.395661, 0.032132, 0.662239, 0.305629
1.670103, 0.001309, 0.595333,                     0.403359, 0.035656, 0.663550, 0.300794
1.603960, 0.000949, 0.588074,                     0.410977, 0.043579, 0.659228, 0.297193
1.542857, 0.002930, 0.578725,                     0.418345, 0.054208, 0.651242, 0.294550
1.486239, 0.006991, 0.567683,                     0.425326, 0.065662, 0.641518, 0.292820
1.433628, 0.012704, 0.555463,                     0.431833, 0.076162, 0.631731, 0.292107
1.384615, 0.019537, 0.542635,                     0.437828, 0.084232, 0.623177, 0.292591
1.338843, 0.026920, 0.529752,                     0.443328, 0.088791, 0.616725, 0.294484
1.296000, 0.034296, 0.517309,                     0.448396, 0.089191, 0.612812, 0.297997
1.255814, 0.041163, 0.505710,                     0.453127, 0.085220, 0.611467, 0.303312
1.218045, 0.047100, 0.495253,                     0.457647, 0.077129, 0.612325, 0.310545
1.182482, 0.051771, 0.486134,                     0.462095, 0.065655, 0.614640, 0.319705
1.148936, 0.054937, 0.478444,                     0.466620, 0.052053, 0.617309, 0.330639
1.117241, 0.056444, 0.472186,                     0.471370, 0.038080, 0.618943, 0.342978
1.087248, 0.056231, 0.467279,                     0.476489, 0.025878, 0.618015, 0.356107
1.058824, 0.054321, 0.463571,                     0.482108, 0.017720, 0.613092, 0.369187
1.031847, 0.050824, 0.460842,                     0.488334, 0.015628, 0.603128, 0.381244
