Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.049940, 0.645793,                     0.304267, 0.129047, 0.218252, 0.652701
12.461538, 0.149924, 0.521460,                     0.328616, 0.146262, 0.183794, 0.669944
9.529412, 0.109553, 0.487255,                     0.403192, 0.098809, 0.234758, 0.666433
7.714286, 0.041929, 0.753446,                     0.204625, 0.102744, 0.268288, 0.628969
6.480000, 0.034697, 0.843605,                     0.121698, 0.144597, 0.222752, 0.632652
5.586207, 0.010596, 0.931931,                     0.057473, 0.172767, 0.196590, 0.630643
4.909091, 0.002605, 0.928916,                     0.068479, 0.202813, 0.157027, 0.640160
4.378378, 0.000670, 0.917144,                     0.082186, 0.214923, 0.130486, 0.654591
3.951220, 0.000750, 0.906929,                     0.092321, 0.226223, 0.106422, 0.667356
3.600000, 0.001681, 0.898781,                     0.099539, 0.236940, 0.079207, 0.683853
3.306122, 0.003040, 0.892229,                     0.104731, 0.249676, 0.046387, 0.703937
3.056604, 0.004639, 0.886843,                     0.108518, 0.274396, 0.021302, 0.704301
2.842105, 0.006380, 0.882328,                     0.111292, 0.316724, 0.011483, 0.671793
2.655738, 0.008199, 0.878473,                     0.113328, 0.352719, 0.013025, 0.634256
2.492308, 0.010054, 0.875147,                     0.114799, 0.370639, 0.021242, 0.608119
2.347826, 0.011912, 0.872263,                     0.115824, 0.369295, 0.035877, 0.594828
2.219178, 0.013747, 0.869762,                     0.116491, 0.355820, 0.054500, 0.589679
2.103896, 0.015535, 0.867596,                     0.116868, 0.333666, 0.075991, 0.590343
2.000000, 0.017258, 0.865747,                     0.116995, 0.308726, 0.097376, 0.593898
1.905882, 0.018898, 0.864194,                     0.116908, 0.282312, 0.118432, 0.599256
1.820225, 0.020442, 0.862923,                     0.116635, 0.257512, 0.137246, 0.605242
1.741935, 0.021876, 0.861925,                     0.116199, 0.233958, 0.154662, 0.611380
1.670103, 0.023189, 0.861193,                     0.115618, 0.213067, 0.169525, 0.617408
1.603960, 0.024373, 0.860720,                     0.114907, 0.193909, 0.183034, 0.623057
1.542857, 0.025419, 0.860496,                     0.114085, 0.177192, 0.194372, 0.628436
1.486239, 0.026321, 0.860519,                     0.113160, 0.161978, 0.204682, 0.633339
1.433628, 0.027072, 0.860776,                     0.112152, 0.148701, 0.213317, 0.637982
1.384615, 0.027670, 0.861261,                     0.111068, 0.136577, 0.221225, 0.642197
1.338843, 0.028111, 0.861959,                     0.109930, 0.125924, 0.227886, 0.646190
1.296000, 0.028392, 0.862859,                     0.108749, 0.116125, 0.234040, 0.649834
1.255814, 0.028512, 0.863945,                     0.107543, 0.107433, 0.239282, 0.653286
1.218045, 0.028471, 0.865200,                     0.106329, 0.099375, 0.244157, 0.656469
1.182482, 0.028269, 0.866611,                     0.105120, 0.092154, 0.248374, 0.659472
1.148936, 0.027909, 0.868147,                     0.103944, 0.085414, 0.252311, 0.662276
1.117241, 0.027392, 0.869792,                     0.102816, 0.079317, 0.255781, 0.664901
1.087248, 0.026723, 0.871519,                     0.101758, 0.073593, 0.259023, 0.667384
1.058824, 0.025907, 0.873303,                     0.100790, 0.068373, 0.261944, 0.669683
1.031847, 0.024950, 0.875117,                     0.099933, 0.063453, 0.264665, 0.671883
1.006211, 0.023861, 0.876932,                     0.099207, 0.058936, 0.267176, 0.673888
0.981818, 0.022648, 0.878720,                     0.098632, 0.054668, 0.269502, 0.675829
0.958580, 0.021323, 0.880453,                     0.098224, 0.050731, 0.271704, 0.677565
0.936416, 0.019899, 0.882104,                     0.097997, 0.047009, 0.273729, 0.679262
0.915254, 0.018390, 0.883642,                     0.097968, 0.043563, 0.275694, 0.680743
