Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.052307, 0.665280,                     0.282413, 0.129047, 0.218252, 0.652701
12.461538, 0.155363, 0.536128,                     0.308508, 0.146262, 0.183794, 0.669944
9.529412, 0.114121, 0.500393,                     0.385487, 0.098809, 0.234758, 0.666433
7.714286, 0.043174, 0.765080,                     0.191746, 0.102744, 0.268288, 0.628969
6.480000, 0.036200, 0.863741,                     0.100059, 0.144597, 0.222752, 0.632652
5.586207, 0.011083, 0.860606,                     0.128311, 0.172767, 0.196590, 0.630643
4.909091, 0.012754, 0.823086,                     0.164161, 0.202813, 0.157027, 0.640160
4.378378, 0.011935, 0.826416,                     0.161649, 0.214923, 0.130486, 0.654591
3.951220, 0.010189, 0.835916,                     0.153895, 0.226223, 0.106422, 0.667356
3.600000, 0.008545, 0.844537,                     0.146918, 0.236940, 0.079207, 0.683853
3.306122, 0.007227, 0.851387,                     0.141385, 0.249676, 0.046387, 0.703937
3.056604, 0.006236, 0.856688,                     0.137076, 0.274396, 0.021302, 0.704301
2.842105, 0.005519, 0.860802,                     0.133680, 0.316724, 0.011483, 0.671793
2.655738, 0.005023, 0.864019,                     0.130958, 0.352719, 0.013025, 0.634256
2.492308, 0.004703, 0.866565,                     0.128732, 0.370639, 0.021242, 0.608119
2.347826, 0.004523, 0.868606,                     0.126871, 0.369295, 0.035877, 0.594828
2.219178, 0.004456, 0.870258,                     0.125286, 0.355820, 0.054500, 0.589679
2.103896, 0.004478, 0.871616,                     0.123906, 0.333666, 0.075991, 0.590343
2.000000, 0.004573, 0.872741,                     0.122686, 0.308726, 0.097376, 0.593898
1.905882, 0.004728, 0.873686,                     0.121586, 0.282312, 0.118432, 0.599256
1.820225, 0.004931, 0.874490,                     0.120579, 0.257512, 0.137246, 0.605242
1.741935, 0.005174, 0.875182,                     0.119644, 0.233958, 0.154662, 0.611380
1.670103, 0.005449, 0.875791,                     0.118760, 0.213067, 0.169525, 0.617408
1.603960, 0.005750, 0.876334,                     0.117915, 0.193909, 0.183034, 0.623057
1.542857, 0.006073, 0.876824,                     0.117103, 0.177192, 0.194372, 0.628436
1.486239, 0.006413, 0.877274,                     0.116313, 0.161978, 0.204682, 0.633339
1.433628, 0.006766, 0.877698,                     0.115537, 0.148701, 0.213317, 0.637982
1.384615, 0.007127, 0.878100,                     0.114773, 0.136577, 0.221225, 0.642197
1.338843, 0.007494, 0.878487,                     0.114019, 0.125924, 0.227886, 0.646190
1.296000, 0.007863, 0.878864,                     0.113273, 0.116125, 0.234040, 0.649834
1.255814, 0.008230, 0.879236,                     0.112534, 0.107433, 0.239282, 0.653286
1.218045, 0.008592, 0.879605,                     0.111803, 0.099375, 0.244157, 0.656469
1.182482, 0.008944, 0.879970,                     0.111086, 0.092154, 0.248374, 0.659472
1.148936, 0.009284, 0.880336,                     0.110380, 0.085414, 0.252311, 0.662276
1.117241, 0.009606, 0.880699,                     0.109695, 0.079317, 0.255781, 0.664901
1.087248, 0.009906, 0.881062,                     0.109032, 0.073593, 0.259023, 0.667384
1.058824, 0.010181, 0.881422,                     0.108397, 0.068373, 0.261944, 0.669683
1.031847, 0.010425, 0.881776,                     0.107799, 0.063453, 0.264665, 0.671883
1.006211, 0.010634, 0.882121,                     0.107245, 0.058936, 0.267176, 0.673888
0.981818, 0.010805, 0.882459,                     0.106736, 0.054668, 0.269502, 0.675829
0.958580, 0.010932, 0.882784,                     0.106283, 0.050731, 0.271704, 0.677565
0.936416, 0.011013, 0.883093,                     0.105894, 0.047009, 0.273729, 0.679262
0.915254, 0.011044, 0.883382,                     0.105574, 0.043563, 0.275694, 0.680743
0.895028, 0.011022, 0.883650,                     0.105329, 0.040311, 0.277486, 0.682204
0.875676, 0.010944, 0.883891,                     0.105165, 0.037293, 0.279269, 0.683438
0.857143, 0.010810, 0.884102,                     0.105088, 0.034455, 0.280878, 0.684666
0.839378, 0.010618, 0.884284,                     0.105098, 0.031822, 0.282517, 0.685661
0.822335, 0.010368, 0.884430,                     0.105202, 0.029359, 0.283984, 0.686657
0.805970, 0.010062, 0.884540,                     0.105399, 0.027077, 0.285509, 0.687414
0.790244, 0.009701, 0.884609,                     0.105690, 0.024958, 0.286862, 0.688180
0.775120, 0.009288, 0.884637,                     0.106075, 0.023003, 0.288293, 0.688704
0.760563, 0.008829, 0.884623,                     0.106548, 0.021206, 0.289555, 0.689240
0.746544, 0.008327, 0.884564,                     0.107109, 0.019557, 0.290906, 0.689536
0.733032, 0.007791, 0.884460,                     0.107749, 0.018062, 0.292093, 0.689845
0.720000, 0.007227, 0.884309,                     0.108464, 0.016703, 0.293377, 0.689920
0.707424, 0.006645, 0.884116,                     0.109239, 0.015492, 0.294500, 0.690008
0.695279, 0.006055, 0.883879,                     0.110066, 0.014406, 0.295723, 0.689870
0.683544, 0.005469, 0.883594,                     0.110937, 0.013463, 0.296792, 0.689745
0.672199, 0.004899, 0.883270,                     0.111831, 0.012634, 0.297959, 0.689407
0.661224, 0.004357, 0.882902,                     0.112741, 0.011941, 0.298980, 0.689079
0.650602, 0.003858, 0.882500,                     0.113642, 0.011352, 0.300095, 0.688553
0.640316, 0.003416, 0.882064,                     0.114520, 0.010892, 0.301072, 0.688037
0.630350, 0.003044, 0.881595,                     0.115361, 0.010524, 0.302136, 0.687340
0.620690, 0.002757, 0.881097,                     0.116146, 0.010277, 0.303072, 0.686651
0.611321, 0.002568, 0.880577,                     0.116856, 0.010112, 0.304087, 0.685801
0.602230, 0.002489, 0.880041,                     0.117470, 0.010058, 0.304984, 0.684958
0.593407, 0.002533, 0.879485,                     0.117982, 0.010075, 0.305951, 0.683974
0.584838, 0.002709, 0.878926,                     0.118365, 0.010192, 0.306811, 0.682997
0.576512, 0.003026, 0.878359,                     0.118615, 0.010369, 0.307728, 0.681903
0.568421, 0.003491, 0.877792,                     0.118718, 0.010633, 0.308551, 0.680816
