Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.028201, 0.426232,                     0.545568, 0.129047, 0.218252, 0.652701
12.461538, 0.130997, 0.357928,                     0.511075, 0.146262, 0.183794, 0.669944
9.529412, 0.041072, 0.551135,                     0.407793, 0.098809, 0.234758, 0.666433
7.714286, 0.023044, 0.572098,                     0.404858, 0.102744, 0.268288, 0.628969
6.480000, 0.016379, 0.579368,                     0.404252, 0.144597, 0.222752, 0.632652
5.586207, 0.013071, 0.583178,                     0.403751, 0.172767, 0.196590, 0.630643
4.909091, 0.011189, 0.585549,                     0.403262, 0.202813, 0.157027, 0.640160
4.378378, 0.010042, 0.587174,                     0.402784, 0.214923, 0.130486, 0.654591
3.951220, 0.009320, 0.588362,                     0.402318, 0.226223, 0.106422, 0.667356
3.600000, 0.008866, 0.589276,                     0.401858, 0.236940, 0.079207, 0.683853
3.306122, 0.008589, 0.590006,                     0.401405, 0.249676, 0.046387, 0.703937
3.056604, 0.008435, 0.590611,                     0.400955, 0.274396, 0.021302, 0.704301
2.842105, 0.008368, 0.591125,                     0.400507, 0.316724, 0.011483, 0.671793
2.655738, 0.008364, 0.591574,                     0.400062, 0.352719, 0.013025, 0.634256
2.492308, 0.008406, 0.591977,                     0.399617, 0.370639, 0.021242, 0.608119
2.347826, 0.008481, 0.592345,                     0.399174, 0.369295, 0.035877, 0.594828
2.219178, 0.008579, 0.592687,                     0.398734, 0.355820, 0.054500, 0.589679
2.103896, 0.008692, 0.593012,                     0.398296, 0.333666, 0.075991, 0.590343
2.000000, 0.008814, 0.593322,                     0.397864, 0.308726, 0.097376, 0.593898
1.905882, 0.008939, 0.593626,                     0.397436, 0.282312, 0.118432, 0.599256
1.820225, 0.009062, 0.593924,                     0.397014, 0.257512, 0.137246, 0.605242
1.741935, 0.009180, 0.594220,                     0.396599, 0.233958, 0.154662, 0.611380
1.670103, 0.009290, 0.594518,                     0.396192, 0.213067, 0.169525, 0.617408
1.603960, 0.009388, 0.594818,                     0.395794, 0.193909, 0.183034, 0.623057
1.542857, 0.009473, 0.595122,                     0.395405, 0.177192, 0.194372, 0.628436
1.486239, 0.009541, 0.595436,                     0.395023, 0.161978, 0.204682, 0.633339
1.433628, 0.009593, 0.595756,                     0.394651, 0.148701, 0.213317, 0.637982
1.384615, 0.009625, 0.596088,                     0.394287, 0.136577, 0.221225, 0.642197
1.338843, 0.009638, 0.596430,                     0.393932, 0.125924, 0.227886, 0.646190
1.296000, 0.009631, 0.596784,                     0.393585, 0.116125, 0.234040, 0.649834
1.255814, 0.009603, 0.597152,                     0.393245, 0.107433, 0.239282, 0.653286
1.218045, 0.009554, 0.597534,                     0.392911, 0.099375, 0.244157, 0.656469
1.182482, 0.009485, 0.597930,                     0.392585, 0.092154, 0.248374, 0.659472
1.148936, 0.009396, 0.598342,                     0.392262, 0.085414, 0.252311, 0.662276
1.117241, 0.009287, 0.598770,                     0.391943, 0.079317, 0.255781, 0.664901
1.087248, 0.009159, 0.599216,                     0.391625, 0.073593, 0.259023, 0.667384
1.058824, 0.009014, 0.599676,                     0.391310, 0.068373, 0.261944, 0.669683
1.031847, 0.008851, 0.600156,                     0.390993, 0.063453, 0.264665, 0.671883
1.006211, 0.008672, 0.600651,                     0.390677, 0.058936, 0.267176, 0.673888
0.981818, 0.008478, 0.601163,                     0.390358, 0.054668, 0.269502, 0.675829
0.958580, 0.008272, 0.601695,                     0.390033, 0.050731, 0.271704, 0.677565
0.936416, 0.008054, 0.602244,                     0.389702, 0.047009, 0.273729, 0.679262
0.915254, 0.007826, 0.602809,                     0.389364, 0.043563, 0.275694, 0.680743
0.895028, 0.007591, 0.603393,                     0.389016, 0.040311, 0.277486, 0.682204
0.875676, 0.007350, 0.603993,                     0.388657, 0.037293, 0.279269, 0.683438
0.857143, 0.007105, 0.604613,                     0.388281, 0.034455, 0.280878, 0.684666
0.839378, 0.006859, 0.605248,                     0.387893, 0.031822, 0.282517, 0.685661
0.822335, 0.006614, 0.605899,                     0.387487, 0.029359, 0.283984, 0.686657
0.805970, 0.006372, 0.606567,                     0.387061, 0.027077, 0.285509, 0.687414
0.790244, 0.006135, 0.607252,                     0.386613, 0.024958, 0.286862, 0.688180
0.775120, 0.005905, 0.607951,                     0.386144, 0.023003, 0.288293, 0.688704
0.760563, 0.005685, 0.608666,                     0.385649, 0.021206, 0.289555, 0.689240
0.746544, 0.005477, 0.609395,                     0.385128, 0.019557, 0.290906, 0.689536
0.733032, 0.005282, 0.610136,                     0.384582, 0.018062, 0.292093, 0.689845
0.720000, 0.005102, 0.610893,                     0.384005, 0.016703, 0.293377, 0.689920
0.707424, 0.004938, 0.611662,                     0.383400, 0.015492, 0.294500, 0.690008
0.695279, 0.004793, 0.612443,                     0.382764, 0.014406, 0.295723, 0.689870
0.683544, 0.004667, 0.613237,                     0.382096, 0.013463, 0.296792, 0.689745
0.672199, 0.004561, 0.614042,                     0.381396, 0.012634, 0.297959, 0.689407
0.661224, 0.004477, 0.614857,                     0.380666, 0.011941, 0.298980, 0.689079
0.650602, 0.004415, 0.615682,                     0.379902, 0.011352, 0.300095, 0.688553
0.640316, 0.004376, 0.616519,                     0.379105, 0.010892, 0.301072, 0.688037
0.630350, 0.004361, 0.617362,                     0.378277, 0.010524, 0.302136, 0.687340
0.620690, 0.004369, 0.618216,                     0.377415, 0.010277, 0.303072, 0.686651
0.611321, 0.004402, 0.619077,                     0.376521, 0.010112, 0.304087, 0.685801
0.602230, 0.004459, 0.619946,                     0.375595, 0.010058, 0.304984, 0.684958
0.593407, 0.004540, 0.620824,                     0.374636, 0.010075, 0.305951, 0.683974
0.584838, 0.004646, 0.621709,                     0.373645, 0.010192, 0.306811, 0.682997
0.576512, 0.004775, 0.622598,                     0.372628, 0.010369, 0.307728, 0.681903
0.568421, 0.004926, 0.623495,                     0.371579, 0.010633, 0.308551, 0.680816
0.560554, 0.005100, 0.624398,                     0.370502, 0.010945, 0.309421, 0.679634
0.552901, 0.005294, 0.625306,                     0.369401, 0.011331, 0.310209, 0.678460
0.545455, 0.005507, 0.626220,                     0.368273, 0.011753, 0.311031, 0.677216
0.538206, 0.005738, 0.627140,                     0.367122, 0.012235, 0.311782, 0.675983
0.531148, 0.005985, 0.628062,                     0.365953, 0.012739, 0.312557, 0.674704
0.524272, 0.006246, 0.628991,                     0.364763, 0.013289, 0.313275, 0.673436
0.517572, 0.006518, 0.629922,                     0.363560, 0.013848, 0.314003, 0.672149
0.511041, 0.006800, 0.630859,                     0.362341, 0.014439, 0.314687, 0.670875
0.504673, 0.007090, 0.631799,                     0.361111, 0.015026, 0.315371, 0.669603
0.498462, 0.007386, 0.632742,                     0.359872, 0.015629, 0.316022, 0.668349
0.492401, 0.007684, 0.633690,                     0.358626, 0.016219, 0.316664, 0.667118
0.486486, 0.007984, 0.634640,                     0.357376, 0.016810, 0.317284, 0.665906
0.480712, 0.008282, 0.635594,                     0.356124, 0.017377, 0.317885, 0.664737
0.475073, 0.008578, 0.636551,                     0.354870, 0.017933, 0.318478, 0.663589
0.469565, 0.008869, 0.637512,                     0.353619, 0.018456, 0.319042, 0.662502
0.464183, 0.009154, 0.638474,                     0.352372, 0.018957, 0.319609, 0.661434
0.458924, 0.009430, 0.639440,                     0.351130, 0.019418, 0.320139, 0.660444
0.453782, 0.009696, 0.640409,                     0.349895, 0.019847, 0.320681, 0.659473
0.448753, 0.009950, 0.641382,                     0.348668, 0.020230, 0.321181, 0.658590
0.443836, 0.010191, 0.642354,                     0.347455, 0.020573, 0.321700, 0.657727
0.439024, 0.010418, 0.643331,                     0.346250, 0.020866, 0.322173, 0.656960
0.434316, 0.010630, 0.644311,                     0.345060, 0.021115, 0.322674, 0.656211
0.429708, 0.010824, 0.645292,                     0.343884, 0.021312, 0.323125, 0.655563
0.425197, 0.011001, 0.646275,                     0.342724, 0.021460, 0.323609, 0.654931
0.420779, 0.011160, 0.647261,                     0.341578, 0.021559, 0.324040, 0.654401
0.416452, 0.011301, 0.648249,                     0.340450, 0.021608, 0.324509, 0.653883
0.412214, 0.011424, 0.649240,                     0.339336, 0.021611, 0.324924, 0.653465
0.408060, 0.011529, 0.650233,                     0.338237, 0.021565, 0.325383, 0.653052
0.403990, 0.011618, 0.651227,                     0.337155, 0.021480, 0.325786, 0.652735
0.400000, 0.011692, 0.652225,                     0.336083, 0.021350, 0.326235, 0.652415
