Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
18.000000, 0.040736, 0.487123,                     0.472140, 0.129047, 0.218252, 0.652701
12.461538, 0.118785, 0.409153,                     0.472062, 0.146262, 0.183794, 0.669944
9.529412, 0.083388, 0.319909,                     0.596702, 0.098809, 0.234758, 0.666433
7.714286, 0.029631, 0.561682,                     0.408688, 0.102744, 0.268288, 0.628969
6.480000, 0.025141, 0.662218,                     0.312641, 0.144597, 0.222752, 0.632652
5.586207, 0.006215, 0.788324,                     0.205462, 0.172767, 0.196590, 0.630643
4.909091, 0.001847, 0.796495,                     0.201658, 0.202813, 0.157027, 0.640160
4.378378, 0.004574, 0.782342,                     0.213083, 0.214923, 0.130486, 0.654591
3.951220, 0.009821, 0.766282,                     0.223898, 0.226223, 0.106422, 0.667356
3.600000, 0.016093, 0.751363,                     0.232545, 0.236940, 0.079207, 0.683853
3.306122, 0.022782, 0.737903,                     0.239315, 0.249676, 0.046387, 0.703937
3.056604, 0.029573, 0.725812,                     0.244616, 0.274396, 0.021302, 0.704301
2.842105, 0.036263, 0.714980,                     0.248758, 0.316724, 0.011483, 0.671793
2.655738, 0.042711, 0.705330,                     0.251959, 0.352719, 0.013025, 0.634256
2.492308, 0.048808, 0.696826,                     0.254366, 0.370639, 0.021242, 0.608119
2.347826, 0.054468, 0.689448,                     0.256085, 0.369295, 0.035877, 0.594828
2.219178, 0.059620, 0.683187,                     0.257193, 0.355820, 0.054500, 0.589679
2.103896, 0.064208, 0.678048,                     0.257744, 0.333666, 0.075991, 0.590343
2.000000, 0.068187, 0.674021,                     0.257792, 0.308726, 0.097376, 0.593898
1.905882, 0.071519, 0.671105,                     0.257376, 0.282312, 0.118432, 0.599256
1.820225, 0.074175, 0.669293,                     0.256531, 0.257512, 0.137246, 0.605242
1.741935, 0.076134, 0.668571,                     0.255295, 0.233958, 0.154662, 0.611380
1.670103, 0.077380, 0.668916,                     0.253704, 0.213067, 0.169525, 0.617408
1.603960, 0.077904, 0.670301,                     0.251795, 0.193909, 0.183034, 0.623057
1.542857, 0.077704, 0.672691,                     0.249606, 0.177192, 0.194372, 0.628436
1.486239, 0.076783, 0.676035,                     0.247183, 0.161978, 0.204682, 0.633339
1.433628, 0.075153, 0.680281,                     0.244566, 0.148701, 0.213317, 0.637982
1.384615, 0.072834, 0.685360,                     0.241806, 0.136577, 0.221225, 0.642197
1.338843, 0.069857, 0.691189,                     0.238954, 0.125924, 0.227886, 0.646190
1.296000, 0.066261, 0.697672,                     0.236067, 0.116125, 0.234040, 0.649834
1.255814, 0.062099, 0.704699,                     0.233203, 0.107433, 0.239282, 0.653286
1.218045, 0.057435, 0.712143,                     0.230422, 0.099375, 0.244157, 0.656469
1.182482, 0.052349, 0.719863,                     0.227788, 0.092154, 0.248374, 0.659472
1.148936, 0.046934, 0.727703,                     0.225363, 0.085414, 0.252311, 0.662276
1.117241, 0.041296, 0.735498,                     0.223206, 0.079317, 0.255781, 0.664901
1.087248, 0.035553, 0.743068,                     0.221378, 0.073593, 0.259023, 0.667384
1.058824, 0.029837, 0.750238,                     0.219925, 0.068373, 0.261944, 0.669683
1.031847, 0.024284, 0.756823,                     0.218892, 0.063453, 0.264665, 0.671883
1.006211, 0.019036, 0.762655,                     0.218309, 0.058936, 0.267176, 0.673888
0.981818, 0.014232, 0.767576,                     0.218193, 0.054668, 0.269502, 0.675829
0.958580, 0.010006, 0.771450,                     0.218544, 0.050731, 0.271704, 0.677565
0.936416, 0.006481, 0.774167,                     0.219353, 0.047009, 0.273729, 0.679262
0.915254, 0.003760, 0.775653,                     0.220587, 0.043563, 0.275694, 0.680743
0.895028, 0.001929, 0.775875,                     0.222196, 0.040311, 0.277486, 0.682204
0.875676, 0.001043, 0.774834,                     0.224123, 0.037293, 0.279269, 0.683438
0.857143, 0.001135, 0.772567,                     0.226298, 0.034455, 0.280878, 0.684666
0.839378, 0.002207, 0.769157,                     0.228636, 0.031822, 0.282517, 0.685661
0.822335, 0.004233, 0.764711,                     0.231056, 0.029359, 0.283984, 0.686657
0.805970, 0.007165, 0.759372,                     0.233463, 0.027077, 0.285509, 0.687414
0.790244, 0.010930, 0.753293,                     0.235776, 0.024958, 0.286862, 0.688180
0.775120, 0.015439, 0.746650,                     0.237911, 0.023003, 0.288293, 0.688704
0.760563, 0.020589, 0.739616,                     0.239795, 0.021206, 0.289555, 0.689240
0.746544, 0.026266, 0.732374,                     0.241360, 0.019557, 0.290906, 0.689536
0.733032, 0.032353, 0.725100,                     0.242547, 0.018062, 0.292093, 0.689845
0.720000, 0.038730, 0.717956,                     0.243315, 0.016703, 0.293377, 0.689920
0.707424, 0.045277, 0.711096,                     0.243628, 0.015492, 0.294500, 0.690008
0.695279, 0.051879, 0.704660,                     0.243461, 0.014406, 0.295723, 0.689870
0.683544, 0.058425, 0.698776,                     0.242799, 0.013463, 0.296792, 0.689745
0.672199, 0.064811, 0.693550,                     0.241639, 0.012634, 0.297959, 0.689407
0.661224, 0.070939, 0.689073,                     0.239988, 0.011941, 0.298980, 0.689079
0.650602, 0.076717, 0.685424,                     0.237859, 0.011352, 0.300095, 0.688553
0.640316, 0.082062, 0.682669,                     0.235269, 0.010892, 0.301072, 0.688037
0.630350, 0.086895, 0.680850,                     0.232255, 0.010524, 0.302136, 0.687340
0.620690, 0.091146, 0.680004,                     0.228850, 0.010277, 0.303072, 0.686651
0.611321, 0.094749, 0.680159,                     0.225092, 0.010112, 0.304087, 0.685801
0.602230, 0.097647, 0.681317,                     0.221036, 0.010058, 0.304984, 0.684958
0.593407, 0.099786, 0.683480,                     0.216734, 0.010075, 0.305951, 0.683974
0.584838, 0.101122, 0.686629,                     0.212249, 0.010192, 0.306811, 0.682997
0.576512, 0.101617, 0.690737,                     0.207647, 0.010369, 0.307728, 0.681903
0.568421, 0.101241, 0.695758,                     0.203002, 0.010633, 0.308551, 0.680816
0.560554, 0.099974, 0.701635,                     0.198390, 0.010945, 0.309421, 0.679634
0.552901, 0.097809, 0.708296,                     0.193895, 0.011331, 0.310209, 0.678460
0.545455, 0.094751, 0.715652,                     0.189598, 0.011753, 0.311031, 0.677216
0.538206, 0.090819, 0.723595,                     0.185586, 0.012235, 0.311782, 0.675983
0.531148, 0.086053, 0.732000,                     0.181947, 0.012739, 0.312557, 0.674704
0.524272, 0.080510, 0.740730,                     0.178759, 0.013289, 0.313275, 0.673436
0.517572, 0.074272, 0.749625,                     0.176103, 0.013848, 0.314003, 0.672149
0.511041, 0.067440, 0.758517,                     0.174042, 0.014439, 0.314687, 0.670875
0.504673, 0.060143, 0.767223,                     0.172633, 0.015026, 0.315371, 0.669603
0.498462, 0.052531, 0.775558,                     0.171911, 0.015629, 0.316022, 0.668349
0.492401, 0.044775, 0.783332,                     0.171893, 0.016219, 0.316664, 0.667118
0.486486, 0.037063, 0.790363,                     0.172574, 0.016810, 0.317284, 0.665906
0.480712, 0.029597, 0.796486,                     0.173917, 0.017377, 0.317885, 0.664737
0.475073, 0.022584, 0.801547,                     0.175869, 0.017933, 0.318478, 0.663589
0.469565, 0.016229, 0.805430,                     0.178341, 0.018456, 0.319042, 0.662502
0.464183, 0.010726, 0.808049,                     0.181224, 0.018957, 0.319609, 0.661434
0.458924, 0.006251, 0.809362,                     0.184387, 0.019418, 0.320139, 0.660444
0.453782, 0.002952, 0.809360,                     0.187688, 0.019847, 0.320681, 0.659473
0.448753, 0.000945, 0.808081,                     0.190974, 0.020230, 0.321181, 0.658590
0.443836, 0.000307, 0.805604,                     0.194089, 0.020573, 0.321700, 0.657727
0.439024, 0.001076, 0.802044,                     0.196880, 0.020866, 0.322173, 0.656960
0.434316, 0.003249, 0.797541,                     0.199210, 0.021115, 0.322674, 0.656211
0.429708, 0.006783, 0.792262,                     0.200955, 0.021312, 0.323125, 0.655563
0.425197, 0.011602, 0.786388,                     0.202010, 0.021460, 0.323609, 0.654931
0.420779, 0.017597, 0.780107,                     0.202296, 0.021559, 0.324040, 0.654401
0.416452, 0.024637, 0.773602,                     0.201761, 0.021608, 0.324509, 0.653883
0.412214, 0.032569, 0.767059,                     0.200372, 0.021611, 0.324924, 0.653465
0.408060, 0.041228, 0.760652,                     0.198120, 0.021565, 0.325383, 0.653052
0.403990, 0.050440, 0.754535,                     0.195024, 0.021480, 0.325786, 0.652735
0.400000, 0.060026, 0.748851,                     0.191122, 0.021350, 0.326235, 0.652415
