Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
0.524272, 0.087151, 0.238736,                     0.674114, 0.143790, 0.125875, 0.730335
0.517572, 0.092074, 0.234123,                     0.673803, 0.145572, 0.122603, 0.731824
0.511041, 0.103790, 0.227291,                     0.668919, 0.136437, 0.116871, 0.746692
0.504673, 0.114615, 0.219353,                     0.666032, 0.146135, 0.115234, 0.738632
0.498462, 0.114948, 0.211669,                     0.673383, 0.183377, 0.115022, 0.701601
0.492401, 0.100231, 0.202922,                     0.696847, 0.205840, 0.105593, 0.688567
0.486486, 0.076573, 0.194518,                     0.728908, 0.210743, 0.102256, 0.687001
0.480712, 0.054546, 0.186940,                     0.758515, 0.197092, 0.102491, 0.700417
0.475073, 0.044131, 0.180670,                     0.775199, 0.171976, 0.105095, 0.722930
0.469565, 0.049125, 0.176337,                     0.774537, 0.145733, 0.109051, 0.745215
0.464183, 0.064818, 0.174509,                     0.760673, 0.129533, 0.112695, 0.757773
0.458924, 0.079878, 0.175185,                     0.744937, 0.129467, 0.114801, 0.755732
0.453782, 0.081596, 0.177058,                     0.741346, 0.139783, 0.115242, 0.744975
0.448753, 0.064222, 0.176834,                     0.758943, 0.144486, 0.114694, 0.740821
0.443836, 0.037961, 0.169794,                     0.792246, 0.127571, 0.112876, 0.759553
0.439024, 0.026222, 0.153249,                     0.820529, 0.088529, 0.107533, 0.803938
0.434316, 0.042732, 0.130004,                     0.827264, 0.057790, 0.095557, 0.846653
0.429708, 0.075263, 0.105975,                     0.818762, 0.062989, 0.078922, 0.858089
0.425197, 0.098331, 0.085114,                     0.816555, 0.085895, 0.063833, 0.850272
0.420779, 0.093571, 0.068088,                     0.838340, 0.094450, 0.053432, 0.852118
0.416452, 0.061252, 0.053859,                     0.884889, 0.080601, 0.047418, 0.871980
0.412214, 0.023153, 0.041407,                     0.935439, 0.054381, 0.044082, 0.901537
0.408060, 0.009937, 0.030595,                     0.959469, 0.037189, 0.040491, 0.922321
0.403990, 0.035858, 0.021860,                     0.942282, 0.054745, 0.034396, 0.910859
0.400000, 0.089606, 0.015397,                     0.894997, 0.107299, 0.026781, 0.865920
